proveedor,ciudad,codigo,slug,precio_desde,moneda,rating,opiniones,cancelacion,url
viator,barcelona,5716GOLFWINE,montserrat-bodega-y-tapas-castlexperience,46.64,EUR,4.9,7736,gratis 24h,https://www.viator.com/es-ES/tours/Barcelona/Small-Group-Montserrat-Tour-from-Barcelona-Wine-and-Cheese-Tasting-with-Optional-Golf-Round/d562-5716GOLFWINE?pid=P00298823&mcid=42383&medium=link
viator,barcelona,5716P2,montserrat-virgen-negra-y-bodega-medieval,54,EUR,4.9,5305,gratis 24h,https://www.viator.com/es-ES/tours/Barcelona/Montserrat-Tour-from-Barcelona-Including-Lunch-and-Wine-Tasting-in-Oller-del-Mas/d562-5716P2?pid=P00298823&mcid=42383&medium=link
viator,barcelona,5716P4,montserrat-bodega-tapas-y-cremallera,59,EUR,4.9,7069,gratis 24h,https://www.viator.com/es-ES/tours/Barcelona/Extended-Montserrat-with-Tapas-and-Wine/d562-5716P4?pid=P00298823&mcid=42383&medium=link
viator,barcelona,9866P26,montserrat-grupo-pequeno-recogida-hotel,94,EUR,4.8,5579,gratis 24h,https://www.viator.com/es-ES/tours/Barcelona/Montserrat-tour/d562-9866P26?pid=P00298823&mcid=42383&medium=link
viator,cordoba,22705P14,medina-azahara-visita-guiada,18,EUR,4.9,244,gratis Noneh,https://www.viator.com/tours/Cordoba/Guided-visit-to-Medina-Azahara/d5254-22705P14
viator,cordoba,22705P16,juderia-mezquita-catedral-entradas,34,EUR,4.5,55,gratis Noneh,https://www.viator.com/tours/Cordoba/Guided-Tour-Jewish-Quarter-and-Mosque-Cathedral-of-Cordoba-with-tickets/d5254-22705P16
viator,cordoba,34697P5,mezquita-catedral-entradas-prioritarias,30,EUR,4.4,386,gratis Noneh,https://www.viator.com/tours/Cordoba/Official-Tour-Mosque-Cathedral-of-Cordoba/d5254-34697P5
viator,girona,5520738P119,girona-tour-audioguiado,7,EUR,,,gratis Noneh,https://www.viator.com/tours/Girona/Discover-Girona-and-Costa-Brava-A-Guided-Tour/d23015-5520738P119
viator,girona,9866P29,girona-costa-brava-grupo-pequeno,99,EUR,4.9,7496,gratis Noneh,https://www.viator.com/tours/Barcelona/Girona-and-Costa-Brava-tour/d562-9866P29
viator,granada,11131P1,alhambra-generalife-grupo-pequeno,59,EUR,4.7,3183,no reembolsable,https://www.viator.com/es-ES/tours/Granada/Alhambra-and-Generalife-Tour-in-small-groups/d554-11131P1?pid=P00298823&mcid=42383&medium=link
viator,granada,121471P1,cordoba-mezquita-desde-granada,165,EUR,4.6,67,gratis 24h,https://www.viator.com/es-ES/tours/Granada/Cordoba-and-its-Mosque-Tour-from-Granada/d554-121471P1?pid=P00298823&mcid=42383&medium=link
viator,granada,121471P11,nerja-frigiliana-sin-colas,135,EUR,4.7,27,gratis 24h,https://www.viator.com/es-ES/tours/Granada/Nerja-and-Frijiliana-Day-Trip-from-Granada/d554-121471P11?pid=P00298823&mcid=42383&medium=link
viator,granada,121471P35,alhambra-visita-guiada-ticket-garantizado,56,EUR,4.6,102,no reembolsable,https://www.viator.com/es-ES/tours/Granada/Alhambra-guided-tour/d554-121471P35?pid=P00298823&mcid=42383&medium=link
viator,granada,169592P1,granada-food-tour-small-group,67,EUR,4.9,865,gratis 24h,https://www.viator.com/es-ES/tours/Granada/Small-Group-Food-Tour-in-Granada/d554-169592P1?pid=P00298823&mcid=42383&medium=link
viator,granada,177568P2,granada-tapas-noche,75,EUR,5.0,85,gratis 24h,https://www.viator.com/es-ES/tours/Granada/The-Entertaining-Granada-Tapas-Crawl/d554-177568P2?pid=P00298823&mcid=42383&medium=link
viator,granada,181777P10,ebike-sierra-nevada-aldeas,79,EUR,5.0,84,gratis 24h,https://www.viator.com/es-ES/tours/Granada/Granada-Nature-Wildlife-and-Authentic-Villages-E-bike-Tour/d554-181777P10?pid=P00298823&mcid=42383&medium=link
viator,granada,181777P7,ebike-tapas-granada,69,EUR,4.9,116,gratis 24h,https://www.viator.com/es-ES/tours/Granada/Granada-Highlights-Tour-with-Tapas-Breaks-by-Electric-Bike/d554-181777P7?pid=P00298823&mcid=42383&medium=link
viator,granada,19234P15,albaicin-sacromonte-tesoro-oculto,29,EUR,4.7,595,gratis 24h,https://www.viator.com/es-ES/tours/Granada/Granada-Walking-Tour-of-Albaicin-and-Sacromonte/d554-19234P15?pid=P00298823&mcid=42383&medium=link
viator,granada,3443CITALHVIA,alhambra-privada-grupo-pequeno,89,EUR,4.6,925,no reembolsable,https://www.viator.com/es-ES/tours/Granada/Alhambra-Private-Small-Group-Tour-and-Nasrid-Palaces-Skip-the-Line/d554-3443CITALHVIA?pid=P00298823&mcid=42383&medium=link
viator,granada,3443G4,nerja-costa-tropical-desde-granada,69,EUR,4.5,52,gratis 24h,https://www.viator.com/es-ES/tours/Granada/Tropical-Coast-and-Caves-of-Nerja-Day-Trip-with-Lunch-from-Granada/d554-3443G4?pid=P00298823&mcid=42383&medium=link
viator,granada,3443G5,alpujarras-viator-con-almuerzo,71.31,EUR,4.6,138,gratis 24h,https://www.viator.com/es-ES/tours/Granada/Las-Alpujarras-Full-Day-Tour-with-Optional-Lunch-from-Granada/d554-3443G5?pid=P00298823&mcid=42383&medium=link
viator,granada,419048P1,tapas-tour-3h-albayzin,35,EUR,4.9,101,gratis 24h,https://www.viator.com/es-ES/tours/Granada/Tapas-tour-in-Granada/d554-419048P1?pid=P00298823&mcid=42383&medium=link
viator,granada,423057P1,alhambra-tour-privado-guia-arabe,105,EUR,4.7,170,gratis 24h,https://www.viator.com/es-ES/tours/Granada/3-Hour-Private-Tour-to-the-Alhambra/d554-423057P1?pid=P00298823&mcid=42383&medium=link
viator,granada,8297P4,sierra-nevada-raquetas-senderismo,65,EUR,4.9,95,gratis 24h,https://www.viator.com/es-ES/tours/Granada/Hiking-Experience-in-Sierra-Nevada-from-Granada/d554-8297P4?pid=P00298823&mcid=42383&medium=link
viator,madrid,104043P8,excursion-toledo-tour-privado,310,EUR,5.0,660,gratis 24h,https://www.viator.com/es-ES/tours/Madrid/Private-tour-to-Toledo-from-Madrid-with-licensed-guide-and-private-driver/d566-104043P8?pid=P00298823&mcid=42383&medium=link
viator,madrid,109384P93,madrid-tapas-walking-tour,65,EUR,5.0,151,gratis 24h,https://www.viator.com/tours/Madrid/Tipsy-Tapas-Walking-Tour-with-Food-and-Drinks/d566-109384P93?pid=P00298823&mcid=42383&medium=link&primaryLanguage=en
viator,madrid,110971P29,excursion-toledo-tu-aire,35,EUR,3.9,12,gratis 24h,https://www.viator.com/es-ES/tours/Madrid/Toledo-Tour-on-your-Own-with-Walking-Tour-Included/d566-110971P29?pid=P00298823&mcid=42383&medium=link
viator,madrid,110971P4,excursion-escorial-valle-caidos,62,EUR,4.8,2706,gratis 24h,https://www.viator.com/es-ES/tours/Madrid/Escorial-y-Valle-de-los-Caidos-con-Tickets-Included-from-Madrid/d566-110971P4?pid=P00298823&mcid=42383&medium=link
viator,madrid,110971P5,excursion-toledo-dia-completo,79,EUR,4.8,7252,gratis 24h,https://www.viator.com/es-ES/tours/Madrid/Toledo-Full-Day-with-Cathedral-from-Madrid/d566-110971P5?pid=P00298823&mcid=42383&medium=link
viator,madrid,13557P3,iberian-ham-wine-tasting-viator,60.05,EUR,5.0,178,gratis 24h,https://www.viator.com/tours/Madrid/Cured-Meats-Cheese-and-Wine-Tasting-Tour-in-Madrid/d566-13557P3?pid=P00298823&mcid=42383&medium=link
viator,madrid,135793P1,madrid-tour-inquisicion-fantasmas-viator,20,EUR,4.7,325,gratis 24h,https://www.viator.com/tours/Madrid/Spanish-Inquisition-Tour-and-Ghost-Stories-of-Madrid/d566-135793P1?pid=P00298823&mcid=42383&medium=link
viator,madrid,144457P1,prado-tour-privado,125,EUR,4.7,91,gratis 24h,https://www.viator.com/es-ES/tours/Madrid/Private-Tour-2H-Prado-Museum/d566-144457P1?pid=P00298823&mcid=42383&medium=link
viator,madrid,2140JTEMA13,madrid-city-tour-bernabeu-viator,71,EUR,3.3,132,no reembolsable,https://www.viator.com/tours/Madrid/Madrid-City-Tour-and-Santiago-Bernabeu-Stadium/d566-2140JTEMA13?pid=P00298823&mcid=42383&medium=link
viator,madrid,2140JTEMA20,excursion-toledo-medio-dia,29,EUR,4.5,6033,gratis 24h,https://www.viator.com/es-ES/tours/Madrid/Toledo-Half-Day-or-Full-Day-Trip-from-Madrid/d566-2140JTEMA20?pid=P00298823&mcid=42383&medium=link
viator,madrid,2140LASVENTAS,las-ventas-plaza-toros-audioguia,16,EUR,4.3,110,gratis 24h,https://www.viator.com/tours/Madrid/Las-Ventas-Bullring-Entrance-Ticket-and-Audio-Tour/d566-2140LASVENTAS?pid=P00298823&mcid=42383&medium=link
viator,madrid,2140P273,bernabeu-guided-museum-viator,63,EUR,4.2,452,gratis 24h,https://www.viator.com/tours/Madrid/Guided-Tour-in-Bernabeu-Stadium/d566-2140P273?pid=P00298823&mcid=42383&medium=link
viator,madrid,2140P294,excursion-segovia-catedral-alcazar,42,EUR,4.6,247,gratis 24h,https://www.viator.com/es-ES/tours/Madrid/Best-of-Segovia-Entrance-to-the-Cathedral-and-the-Alcazar/d566-2140P294?pid=P00298823&mcid=42383&medium=link
viator,madrid,22869P66,reina-sofia-tour-viator,29,EUR,4.2,212,gratis 24h,https://www.viator.com/tours/Madrid/Guided-Tour-of-Madrids-Reina-Sofia-Museum/d566-22869P66?pid=P00298823&mcid=42383&medium=link
viator,madrid,22869P9,excursion-toledo-segovia-almuerzo,38,EUR,4.6,4637,gratis 24h,https://www.viator.com/es-ES/tours/Madrid/Toledo-and-Segovia-Full-Day-Tour-with-an-Optional-Visit-to-Avila/d566-22869P9?pid=P00298823&mcid=42383&medium=link
viator,madrid,22869ROYALPALACEEXC,palacio-real-monolingual-fast-track-viator,43,EUR,4.2,497,gratis 24h,https://www.viator.com/tours/Madrid/Royal-Palace-of-Madrid-Monolingual-Guided-Tour-with-Fast-Track-Access/d566-22869ROYALPALACEEXC?pid=P00298823&mcid=42383&medium=link
viator,madrid,29788P2,10-tapas-cooking-class-viator,74,EUR,4.8,145,gratis 24h,https://www.viator.com/tours/Madrid/Paella-cooking-class/d566-29788P2?pid=P00298823&mcid=42383&medium=link
viator,madrid,322183P1,tablao-la-carmela-viator,45,EUR,4.2,32,gratis 24h,https://www.viator.com/tours/Madrid/Flamenco-show-at-Tablao-la-Carmela-Puerta-del-Sol-Madrid/d566-322183P1?pid=P00298823&mcid=42383&medium=link
viator,madrid,340934P5,palacio-real-skip-line-viator,38,EUR,4.7,2170,gratis 24h,https://www.viator.com/tours/Madrid/Madrid-Royal-Palace-Guided-Tour-with-Skip-The-Line-Tickets/d566-340934P5?pid=P00298823&mcid=42383&medium=link
viator,madrid,354476P6,tour-tapas-cena-privada-madrid,117,EUR,5.0,239,gratis 24h,https://www.viator.com/es-ES/tours/Madrid/Local-tapas-tour-with-private-sit-down-dinner-and-bottomless-wine/d566-354476P6?pid=P00298823&mcid=42383&medium=link
viator,madrid,379928P1,excursion-toledo-molinos-quijote,125,EUR,4.9,223,gratis 24h,https://www.viator.com/es-ES/tours/Madrid/Tour-the-Windmills-of-Don-Quixote-de-la-Mancha-and-Toledo-with-Lunch/d566-379928P1?pid=P00298823&mcid=42383&medium=link
viator,madrid,441637P1,paella-sangria-classes-private-viator,85,EUR,5.0,287,gratis 24h,https://www.viator.com/tours/Madrid/2-Hour-Private-Paella-Cooking-Clases/d566-441637P1?pid=P00298823&mcid=42383&medium=link
viator,madrid,48293P13,tour-gastronomico-tapas-madrid,54,EUR,4.9,119,gratis 24h,https://www.viator.com/es-ES/tours/Madrid/Madrid-Food-Tour/d566-48293P13?pid=P00298823&mcid=42383&medium=link
viator,madrid,56823P10,excursion-toledo-segovia-alcazar,48,EUR,4.5,856,gratis 24h,https://www.viator.com/es-ES/tours/Madrid/Segovia-and-Toledo-from-Madrid-with-Cathedral-and-Alcazar-Access/d566-56823P10?pid=P00298823&mcid=42383&medium=link
viator,madrid,5830WINETAPAS,tour-tapas-vinos-barrio-letras,77,EUR,4.9,3832,gratis 24h,https://www.viator.com/es-ES/tours/Madrid/Madrid-Tapas-and-Wine-Tasting-Tour/d566-5830WINETAPAS?pid=P00298823&mcid=42383&medium=link
viator,madrid,5903WALKTOUR,walking-tour-austrias-privado-viator,204,EUR,4.6,0,no reembolsable,https://www.viator.com/tours/Madrid/Private-Tour-Madrid-Walking-Tour-of-Los-Austrias/d566-5903WALKTOUR?pid=P00298823&mcid=42383&medium=link
viator,madrid,5995P34,madrid-bici-ebike-retiro-letras-viator,42,EUR,5.0,5,gratis 24h,https://www.viator.com/tours/Madrid/Retiro-park-and-Literary-Quarter-by-e-bike/d566-5995P34?pid=P00298823&mcid=42383&medium=link
viator,madrid,65969P1,wanda-metropolitano-entrada-viator,25,EUR,4.4,188,gratis 24h,https://www.viator.com/tours/Madrid/Wanda-Metropolitano-Entrance-Ticket/d566-65969P1?pid=P00298823&mcid=42383&medium=link
viator,madrid,68331P12,madrid-ebike-sunset-tour,45,EUR,4.6,5,gratis 24h,https://www.viator.com/tours/Madrid/E-Bike-Tour-chasing-the-best-Sunset-in-Madrid/d566-68331P12?pid=P00298823&mcid=42383&medium=link
viator,madrid,6874P121,excursion-toledo-vinos-tapas,110,EUR,4.9,2658,gratis 24h,https://www.viator.com/es-ES/tours/Madrid/Toledo-City-Tour-and-Winery-Experience-with-Wine-Tasting-from-Madrid/d566-6874P121?pid=P00298823&mcid=42383&medium=link
viator,madrid,6874P162,excursion-toledo-ave-tren,90,EUR,4.9,222,gratis 24h,https://www.viator.com/es-ES/tours/Madrid/Toledo-city-tour-with-high-speed-train-from-Madrid/d566-6874P162?pid=P00298823&mcid=42383&medium=link
viator,madrid,6874P84,tour-tapas-tabernas-azotea-madrid,97.99,EUR,5.0,2146,gratis 24h,https://www.viator.com/es-ES/tours/Madrid/Market-Bites-and-Tapas-Local-Gastronomic-Dining-Experience/d566-6874P84?pid=P00298823&mcid=42383&medium=link
viator,madrid,6874P88,excursion-toledo-segovia-avila,89.99,EUR,4.8,9118,gratis 24h,https://www.viator.com/es-ES/tours/Madrid/Three-Cities-in-One-Day-Segovia-Avila-and-Toledo-from-Madrid/d566-6874P88?pid=P00298823&mcid=42383&medium=link&medium_version=selector
viator,madrid,70755P1,flamenco-las-carboneras-viator,38,EUR,4.7,23,gratis 24h,https://www.viator.com/tours/Madrid/Flamenco-Show-with-Tapa-and-a-Drink/d566-70755P1?pid=P00298823&mcid=42383&medium=link
viator,madrid,72567P5,segway-retiro-park-viator,37,EUR,4.8,282,gratis 24h,https://www.viator.com/tours/Madrid/Retiro-Park-Segway-Tour/d566-72567P5?pid=P00298823&mcid=42383&medium=link
viator,madrid,7812P9,tour-tapas-centro-madrid,64.8,EUR,5.0,840,gratis 24h,https://www.viator.com/es-ES/tours/Madrid/Tapas-and-food-tour-of-Madrid/d566-7812P9?pid=P00298823&mcid=42383&medium=link
viator,madrid,8512P81,prado-palacio-real,72,EUR,4.5,1405,gratis 24h,https://www.viator.com/es-ES/tours/Madrid/El-Prado-Museum-and-Madrid-Royal-Palace-Guided-Tour-tickets-included/d566-8512P81?pid=P00298823&mcid=42383&medium=link
viator,madrid,8512P83,tour-prado,39,EUR,4.8,549,gratis 24h,https://www.viator.com/es-ES/tours/Madrid/El-Prado-Museum-of-Madrid-Guided-Tour-Tickets-included-and-Skip-the-line/d566-8512P83?pid=P00298823&mcid=42383&medium=link
viator,madrid,8648P4,excursion-avila-segovia-dia-completo,59,EUR,4.9,1163,gratis 24h,https://www.viator.com/es-ES/tours/Madrid/Avila-Segovia-Full-day/d566-8648P4?pid=P00298823&mcid=42383&medium=link
viator,madrid,86817P1,essential-flamenco-viator,34,EUR,4.8,1790,gratis 24h,https://www.viator.com/tours/Madrid/Essential-Flamenco-Admission-Ticket/d566-86817P1?pid=P00298823&mcid=42383&medium=link
viator,malaga,199554P3,tour-alcazaba-y-centro-malaga,25,EUR,4.9,7,gratis Noneh,https://www.viator.com/tours/Malaga/Discover-Malaga-City-tour-and-Alcazaba-3-hours-tour/d956-199554P3
viator,malaga,384801P1,caminito-del-rey-desde-malaga,66,EUR,4.8,726,gratis Noneh,https://www.viator.com/tours/Malaga/Excursion-to-Caminito-del-Rey-from-Malaga/d956-384801P1
viator,malaga,5502350P1,museo-picasso-malaga-visita-guiada,45,EUR,4.8,40,gratis Noneh,https://www.viator.com/tours/Malaga/Malaga-Picasso-Museum-Tour-Expert-Art-Guide-with-tickets/d956-5502350P1
viator,valencia,102062P1,clase-cocina-paella-mercado-ruzafa,65,EUR,4.97,1005,gratis Noneh,https://www.viator.com/tours/Valencia/Workshop-Valencian-Paella-and-Visit-Ruzafa-Market/d811-102062P1
viator,valencia,276333P2,tour-bici-valencia,29,EUR,4.7,289,gratis Noneh,https://www.viator.com/tours/Valencia/Bike-Tour-Valencia/d811-276333P2
getyourguide,barcelona,t1014836,small-group-walking-tour-gothic-and-gaudi-gems,20,EUR,4.9,117,gratis 24h,https://www.getyourguide.com/barcelona-l45/barcelona-walk-like-a-local-el-born-gothic-15-sights-t1014836/?partner_id=VPFQWBY&utm_medium=online_publisher&placement=content-middle
getyourguide,barcelona,t1177,montserrat-cremallera-virgen-negra,50,EUR,4.6,7706,gratis 24h,https://www.getyourguide.com/barcelona-l45/barcelona-montserrat-tour-with-rack-railway-and-virgin-la-moreneta-t1177/?partner_id=C71NOAW
getyourguide,barcelona,t1187145,sagrada-familia-tour-privado,160,EUR,4.6,,gratis 24h,https://www.getyourguide.es/barcelona-l45/tour-privado-por-la-sagrada-familia-descubre-la-perspectiva-de-gaudi-t1187145/?partner_id=C71NOAW
getyourguide,barcelona,t168768,casa-batllo-visita-nocturna-musica-en-vivo,64,EUR,4.5,377,no reembolsable,https://www.getyourguide.es/barcelona-l45/casa-batllo-night-visit-with-live-music-on-the-roof-terrace-t168768/?partner_id=VPFQWBY&utm_medium=online_publisher&placement=content-middle
getyourguide,barcelona,t217593,park-guell-tour-guia-oficial-skip-line,28,EUR,4.6,571,gratis 24h,https://www.getyourguide.es/barcelona-l45/barcelona-park-guell-guided-tour-t217593/?partner_id=C71NOAW
getyourguide,barcelona,t231887,tablao-de-carmen-flamenco-cena-poble-espanyol,88,EUR,4.8,2125,gratis 24h,https://www.getyourguide.es/barcelona-l45/barcelona-flamenco-show-with-tapas-dinner-t231887/?partner_id=VPFQWBY&utm_medium=online_publisher&placement=content-middle
getyourguide,barcelona,t2323,park-guell-tour-guiado-skip-line-clasico,27.3,EUR,4.0,885,gratis 24h,https://www.getyourguide.es/barcelona-l45/park-guell-guided-tour-with-skip-the-line-entry-t2323/?partner_id=C71NOAW
getyourguide,barcelona,t243552,montserrat-dia-completo-con-audioguia,42,EUR,4.6,2449,gratis 24h,https://www.getyourguide.com/barcelona-l45/montserrat-full-day-tour-with-optional-tickets-t243552/?partner_id=C71NOAW
getyourguide,barcelona,t288805,sagrada-familia-visita-guiada-sin-colas,47,EUR,4.8,13565,gratis 24h,https://www.getyourguide.es/barcelona-l45/barcelona-visita-y-ticket-de-entrada-sin-colas-a-la-sagrada-familia-t288805/?partner_id=C71NOAW
getyourguide,barcelona,t29293,sagrada-familia-tour-guiado-clasico,55,EUR,4.4,5559,gratis 24h,https://www.getyourguide.es/barcelona-l45/sagrada-familia-saltate-la-cola-t29293/?partner_id=C71NOAW
getyourguide,barcelona,t297915,montserrat-basilica-y-traslados,41,EUR,4.7,3416,gratis 24h,https://www.getyourguide.com/barcelona-l45/montserrat-half-day-trip-with-basilica-t297915/?partner_id=C71NOAW
getyourguide,barcelona,t355905,sagrada-familia-tour-guiado-tiempo-libre,59,EUR,4.6,1454,gratis 24h,https://www.getyourguide.es/barcelona-l45/barcelona-tour-de-la-sagrada-familia-con-ticket-de-entrada-sin-colas-t355905/?partner_id=C71NOAW
getyourguide,barcelona,t356790,casa-batllo-casa-mila-casa-vicens-tour-tres-casas-gaudi,128,EUR,4.6,331,gratis 24h,https://www.getyourguide.es/barcelona-l45/barcelona-the-3-gaudi-houses-tour-t356790/?partner_id=VPFQWBY&utm_medium=online_publisher&placement=content-middle
getyourguide,barcelona,t381019,museo-picasso-tour-guiado-sin-colas,40,EUR,4.5,3552,gratis 24h,https://www.getyourguide.es/barcelona-l45/barcelona-skip-the-line-guided-tour-of-picasso-museum-t381019/?partner_id=VPFQWBY&utm_medium=online_publisher&placement=content-middle
getyourguide,barcelona,t382639,montserrat-cremallera-bodega-castlexperience,47,EUR,4.8,6154,gratis 24h,https://www.getyourguide.com/barcelona-l45/barcelona-montserrat-rack-railway-and-winery-t382639/?partner_id=C71NOAW
getyourguide,barcelona,t398519,casa-batllo-entrada-con-audioguia,31,EUR,4.7,27982,no reembolsable,https://www.getyourguide.es/barcelona-l45/barcelona-casa-batllo-10d-experience-t398519/?partner_id=VPFQWBY&utm_medium=online_publisher&placement=content-middle
getyourguide,barcelona,t405115,palau-dalmases-flamenco-show-palacio-siglo-xvii,30,EUR,4.6,919,gratis 24h,https://www.getyourguide.es/barcelona-l45/barcelona-flamenco-show-at-palau-dalmases-t405115/?partner_id=VPFQWBY&utm_medium=online_publisher&placement=content-middle
getyourguide,barcelona,t411899,montserrat-funicular-caminata-panoramica,68,EUR,4.9,1033,gratis 24h,https://www.getyourguide.com/barcelona-l45/from-barcelona-montserrat-monastery-and-scenic-mountain-tour-t411899/?partner_id=C71NOAW
getyourguide,barcelona,t419045,park-guell-tour-guiado-mejor-valorado-sin-colas,29,EUR,4.7,19407,gratis 24h,https://www.getyourguide.es/barcelona-l45/barcelona-park-guell-guided-tour-t419045/?partner_id=VPFQWBY&utm_medium=online_publisher&placement=content-middle
getyourguide,barcelona,t428189,catedral-de-barcelona-entrada,21,EUR,4.5,1916,no reembolsable,https://www.getyourguide.es/barcelona-l45/barcelona-cathedral-of-barcelona-entry-ticket-t428189/?partner_id=VPFQWBY&utm_medium=online_publisher&placement=content-middle
getyourguide,barcelona,t448358,ramblas-old-town-and-gaudi-houses-walking-tour,38,EUR,4.8,271,gratis 24h,https://www.getyourguide.com/barcelona-l45/barcelona-ramblas-old-town-gaudi-houses-walking-tour-t448358/?partner_id=VPFQWBY&utm_medium=online_publisher&placement=content-middle
getyourguide,barcelona,t449261,camp-nou-museo-fc-barcelona-tour-inmersivo,28,EUR,4.3,12092,no reembolsable,https://www.getyourguide.es/barcelona-l45/barcelona-barca-immersive-exhibition-ticket-t449261/?partner_id=VPFQWBY&utm_medium=online_publisher&placement=content-middle
getyourguide,barcelona,t50027,entrada-sagrada-familia-audioguia,34,EUR,4.6,110558,gratis 48h,https://www.getyourguide.es/barcelona-l45/sagrada-familia-ticket-de-entrada-sin-colas-t50027/?partner_id=C71NOAW
getyourguide,barcelona,t53791,park-guell-entrada-zona-monumental,23,EUR,4.4,81572,no reembolsable,https://www.getyourguide.es/barcelona-l45/skip-the-line-park-guell-entrance-ticket-t53791/?partner_id=VPFQWBY&utm_medium=online_publisher&placement=content-middle
getyourguide,barcelona,t57039,montserrat-teleferico-y-caminata-grupo-pequeno,74,EUR,4.9,1146,gratis 24h,https://www.getyourguide.com/barcelona-l45/montserrat-easy-hike-and-monastery-day-trip-t57039/?partner_id=C71NOAW
getyourguide,barcelona,t597287,park-guell-tour-express-1h-city-wonders,26,EUR,4.4,1851,gratis 24h,https://www.getyourguide.es/barcelona-l45/barcelona-park-guell-guided-tour-with-skip-the-line-entry-t597287/?partner_id=C71NOAW
getyourguide,barcelona,t61664,tour-casco-antiguo-barri-gotico-a-pie,20,EUR,4.8,1582,gratis 24h,https://www.getyourguide.es/barcelona-l45/barcelona-old-town-and-gothic-quarter-walking-tour-t61664/?partner_id=VPFQWBY&utm_medium=online_publisher&placement=content-middle
getyourguide,barcelona,t638978,catedral-de-barcelona-tour-guiado-con-realidad-virtual,26,EUR,4.5,205,gratis 24h,https://www.getyourguide.es/barcelona-l45/barcelona-cathedral-of-barcelona-ticket-with-guided-tour-and-vr-experience-t638978/?partner_id=VPFQWBY&utm_medium=online_publisher&placement=content-middle
getyourguide,barcelona,t663776,park-guell-tour-fast-track-gaudi,25.99,EUR,4.7,5637,gratis 24h,https://www.getyourguide.es/barcelona-l45/gaudi-s-park-guell-guided-tour-with-fast-track-ticket-t663776/?partner_id=C71NOAW
